RowKey_Date,VD_Carretera-Urda,C_Carretera-Urda,PE_Carretera-Urda,VD_Centro,C_Centro,PE_Centro,VD_Churruca,C_Churruca,PE_Churruca,VD_Gasolinera,C_Gasolinera,VD_Planta,C_Planta,PE_Planta,VD_Poligono,C_Poligono,VD_Sur-Este,C_Sur-Este,PE_Sur-Este,PS_Sur-Este,VD_Valladolid,C_Valladolid,PE_Valladolid,NP-1_Deposito,CS-1_Deposito,NM-1_Deposito,VS-1_Deposito,DiaSem,N_DiaMes,N_Mes,N_Ano,Clasif_Lab,Clasif_Fest,Lab_PrevioFest,Lab_PostFest,DiaSem_SIN,DiaSem_COS,Dia_SIN,Dia_COS,Mes_SIN,Mes_COS
2021-08-02,110.09,4.587083,3.537755,212.88,8.87,1.206307,1461.875,60.912501,0.02533,,,446.82,18.6175,0.012665,192.36,8.015,,,,,1307.1,54.462501,4.09383,87.712929,153.9375,3.420804,3768.0,Lunes,2,8,2021,Laborable,No Festivo,0,0,0.0,1.0,0.20129852008866006,0.9795299412524945,-0.4999999999999997,-0.8660254037844388
2021-08-03,106.67,4.444583,3.564921,181.24,7.551666,1.275087,1440.9375,60.037501,0.024934,,,422.14,17.589166,0.012533,212.3,8.845833,,,,,1321.6,55.066667,4.119678,75.772281,172.758621,2.955119,3746.0,Martes,3,8,2021,Laborable,No Festivo,0,0,0.7818314824680298,0.6234898018587336,0.39435585511331855,0.9189578116202306,-0.4999999999999997,-0.8660254037844388
2021-08-04,74.18,3.090833,3.60626,179.96,7.498333,1.2975,1449.6875,60.404168,0.02533,,,436.42,18.184166,0.012401,215.27,8.969583,,,,,1338.0,55.750001,4.162464,81.797788,149.172414,3.190114,3752.0,Miercoles,4,8,2021,Laborable,No Festivo,0,0,0.9749279121818236,-0.22252093395631434,0.5712682150947923,0.8207634412072763,-0.4999999999999997,-0.8660254037844388
2021-08-05,14.48,0.603333,3.638603,201.64,8.401666,1.203927,1470.1875,61.258334,0.025463,,8.489756,431.04,17.96,0.012665,185.43,7.72625,,26.439024,0.234207,4.251766,1279.7,53.320834,4.198251,95.773271,173.142857,3.739807,3735.0,Jueves,5,8,2021,Laborable,No Festivo,0,0,0.43388373911755823,-0.900968867902419,0.7247927872291199,0.6889669190756866,-0.4999999999999997,-0.8660254037844388
2021-08-06,21.05,0.877083,3.645628,196.12,8.171666,1.205518,1396.375,58.183334,0.02533,,8.92375,411.49,17.145416,0.012533,202.91,8.454583,651.125,27.127499,0.228114,4.064808,1274.8,53.116667,4.204479,93.145389,149.125,3.63267,3659.0,Viernes,6,8,2021,Laborable,No Festivo,0,0,-0.433883739117558,-0.9009688679024191,0.8486442574947509,0.5289640103269624,-0.4999999999999997,-0.8660254037844388
2021-08-07,17.48,0.728333,3.58467,201.39,8.39125,1.242364,1454.4375,60.600001,0.02533,215.679995,9.307083,388.92,16.205,0.012533,201.81,8.40875,654.309985,28.112083,0.211344,4.086922,1333.5,55.562501,4.139415,90.781602,149.25,3.540483,3572.0,Sabado,7,8,2021,No Laborable,No Festivo,0,0,-0.9749279121818236,-0.2225209339563146,0.9377521321470804,0.3473052528448203,-0.4999999999999997,-0.8660254037844388
2021-08-08,42.78,1.7825,3.590766,200.6,8.358333,1.309164,1438.6875,59.945834,0.025597,222.899995,9.198333,391.04,16.293333,0.012533,169.64,7.068333,668.209985,26.297083,0.202716,4.1133,1275.8,53.158334,4.148574,89.064555,154.625,3.473518,3719.0,Domingo,8,8,2021,No Laborable,No Festivo,0,0,-0.7818314824680299,0.6234898018587334,0.9884683243281114,0.1514277775045767,-0.4999999999999997,-0.8660254037844388
2021-08-09,33.34,1.389167,3.613691,221.0,9.208333,1.235871,1529.6875,63.737501,0.02533,221.359995,7.559166,447.27,18.63625,0.012665,192.51,8.02125,634.169986,27.306666,0.200602,4.144446,1244.3,51.845834,4.173471,85.439663,154.8,3.332147,3683.0,Lunes,9,8,2021,Laborable,No Festivo,0,0,0.0,1.0,0.9987165071710528,-0.05064916883871264,-0.4999999999999997,-0.8660254037844388
2021-08-10,29.89,1.245417,3.670402,186.61,7.775416,1.205913,1449.9375,60.412501,0.025597,160.969996,5.89875,433.4,18.058333,0.012533,223.56,9.315,657.639985,28.983749,0.20126,4.09144,1235.3,51.470834,4.231262,87.154557,204.0,3.399028,3732.0,Martes,10,8,2021,Laborable,No Festivo,0,0,0.7818314824680298,0.6234898018587336,0.9680771188662043,-0.2506525322587204,-0.4999999999999997,-0.8660254037844388
2021-08-11,23.73,0.98875,3.676631,214.44,8.935,1.105069,1430.0,59.583334,0.02533,141.779997,5.762917,421.32,17.555,0.012533,232.84,9.701666,691.569985,29.182083,0.201115,4.027024,1238.7,51.612501,4.234555,98.565937,172.235294,3.890415,3639.0,Miercoles,11,8,2021,Laborable,No Festivo,0,0,0.9749279121818236,-0.22252093395631434,0.8978045395707416,-0.4403941515576344,-0.4999999999999997,-0.8660254037844388
2021-08-12,30.11,1.254583,3.671062,187.74,7.8225,1.143362,1448.75,60.366668,0.02533,139.109997,5.814167,418.45,17.435416,0.012533,209.98,8.749166,711.719984,27.676249,0.198725,4.03948,1212.3,50.512501,4.231525,97.693129,149.375,3.835831,3591.0,Jueves,12,8,2021,Laborable,No Festivo,0,0,0.43388373911755823,-0.900968867902419,0.7907757369376985,-0.6121059825476629,-0.4999999999999997,-0.8660254037844388
2021-08-13,20.03,0.834583,3.603485,223.59,9.31625,1.160596,1479.4375,61.641668,0.02533,138.589997,5.8075,432.91,18.037916,0.012401,225.43,9.392916,674.089985,30.093333,0.19993,4.04878,1278.6,53.275001,4.160205,96.283261,150.375,3.756735,3606.0,Viernes,13,8,2021,Laborable,No Festivo,0,0,-0.433883739117558,-0.9009688679024191,0.6513724827222223,-0.7587581226927909,-0.4999999999999997,-0.8660254037844388
2021-08-14,33.14,1.380833,3.549811,199.91,8.329583,1.217848,1475.0625,61.462501,0.025463,139.769997,6.22625,396.79,16.532916,0.012533,209.17,8.715416,714.899984,29.782083,0.206706,4.025174,1308.6,54.525001,4.106158,91.235746,156.5,3.558194,3735.0,Sabado,14,8,2021,No Laborable,No Festivo,0,0,-0.9749279121818236,-0.2225209339563146,0.48530196253108104,-0.8743466161445821,-0.4999999999999997,-0.8660254037844388
2021-08-15,75.95,3.164583,3.544644,196.97,8.207083,1.209225,1466.625,61.108334,0.025731,150.309997,5.999167,405.51,16.89625,0.012533,215.94,8.9975,719.549984,29.382916,0.20697,4.047176,1287.6,53.650001,4.105359,83.264161,160.0,3.247302,3826.0,Domingo,15,8,2021,No Laborable,Festivo,0,0,-0.7818314824680299,0.6234898018587334,0.29936312297335804,-0.9541392564000488,-0.4999999999999997,-0.8660254037844388
2021-08-16,62.7,2.6125,3.5844,226.65,9.44375,1.228585,1496.125,62.337501,0.026131,143.569997,5.900833,430.28,17.928333,0.012401,180.13,7.505416,705.979984,27.522499,0.211345,4.107209,1254.7,52.279167,4.141796,83.67957,160.375,3.263503,3861.0,Lunes,16,8,2021,Laborable,Festivo,0,1,0.0,1.0,0.10116832198743228,-0.9948693233918952,-0.4999999999999997,-0.8660254037844388
2021-08-17,65.99,2.749583,3.514693,241.86,10.0775,1.022515,697.375,29.058334,0.026271,142.709997,5.953333,293.94,12.2475,0.019559,169.95,7.08125,647.449986,27.643333,0.203791,4.032861,1463.0,60.958334,4.062134,87.140475,160.25,3.398479,3837.0,Martes,17,8,2021,Laborable,No Festivo,0,1,0.7818314824680298,0.6234898018587336,-0.10116832198743204,-0.9948693233918952,-0.4999999999999997,-0.8660254037844388
2021-08-18,54.04,2.251667,3.651719,212.82,8.8675,1.085055,0.0,0.0,0.024149,142.659997,5.90625,420.07,17.502916,0.018373,186.42,7.7675,672.369985,27.410416,0.201398,4.066788,1280.1,53.337501,4.208866,89.806627,152.75,3.514892,3662.0,Miercoles,18,8,2021,Laborable,No Festivo,0,0,0.9749279121818236,-0.22252093395631434,-0.29936312297335776,-0.9541392564000489,-0.4999999999999997,-0.8660254037844388
2021-08-19,70.95,2.95625,3.693602,206.17,8.590416,1.418367,971.1875,40.466667,0.025732,141.409997,6.107917,340.49,14.187083,0.006992,157.13,6.547083,642.499986,25.959583,0.193141,4.10468,1220.1,50.837501,4.25351,99.296449,150.625,3.952402,3622.0,Jueves,19,8,2021,Laborable,No Festivo,0,0,0.43388373911755823,-0.900968867902419,-0.4853019625310808,-0.8743466161445822,-0.4999999999999997,-0.8660254037844388
2021-08-20,56.12,2.338333,3.615277,221.7,9.2375,1.471251,1517.625,63.233334,0.029606,147.519997,6.03375,421.05,17.54375,0.012665,182.1,7.5875,618.189986,28.289583,0.192354,4.068236,1275.5,53.145834,4.172548,99.502172,143.25,3.952381,3447.0,Viernes,20,8,2021,Laborable,No Festivo,0,0,-0.433883739117558,-0.9009688679024191,-0.651372482722222,-0.7587581226927911,-0.4999999999999997,-0.8660254037844388
2021-08-21,32.93,1.372083,3.644827,242.0,10.083333,1.323215,1472.0,61.333334,0.028267,144.889997,6.304583,406.14,16.9225,0.012401,166.99,6.957917,683.849985,27.794583,0.194196,4.156642,1293.3,53.887501,4.205401,96.597497,155.25,3.801149,3739.0,Sabado,21,8,2021,No Laborable,No Festivo,0,0,-0.9749279121818236,-0.2225209339563146,-0.7907757369376986,-0.6121059825476627,-0.4999999999999997,-0.8660254037844388
2021-08-22,36.97,1.540417,3.640461,213.5,8.895833,1.374108,1433.8125,59.741668,0.026131,151.989997,6.315833,403.74,16.8225,0.012665,137.28,5.72,671.619985,26.035416,0.191029,4.137153,1248.0,52.000001,4.196387,98.205814,153.875,3.960245,3709.0,Domingo,22,8,2021,No Laborable,No Festivo,0,0,-0.7818314824680299,0.6234898018587334,-0.8978045395707417,-0.44039415155763423,-0.4999999999999997,-0.8660254037844388
2021-08-23,29.23,1.217917,3.628403,264.31,11.012916,1.4572,1495.0,62.291668,0.026532,154.619997,6.282083,447.82,18.659166,0.012665,144.09,6.00375,620.799986,25.790416,0.190762,4.155445,1241.6,51.733334,4.187114,90.190454,151.25,3.655739,3639.0,Lunes,23,8,2021,Laborable,No Festivo,0,0,0.0,1.0,-0.9680771188662043,-0.2506525322587205,-0.4999999999999997,-0.8660254037844388
2021-08-24,17.61,0.73375,3.700484,222.0,9.25,1.540028,1419.75,59.158334,0.029068,146.679997,6.092917,424.37,17.682083,0.012665,138.39,5.76625,619.529986,24.762083,0.187718,4.120193,1211.2,50.466667,4.26506,84.632061,150.625,3.30065,3636.0,Martes,24,8,2021,Laborable,No Festivo,0,0,0.7818314824680298,0.6234898018587336,-0.9987165071710528,-0.05064916883871266,-0.4999999999999997,-0.8660254037844388
2021-08-25,11.68,0.486667,3.739985,193.22,8.050833,1.662483,1343.625,55.983334,0.026665,145.979997,6.15875,391.18,16.299166,0.012665,150.6,6.275,580.909987,24.069583,0.185206,4.113041,1176.6,49.025001,4.302408,94.37207,145.0,3.680511,3510.0,Miercoles,25,8,2021,Laborable,No Festivo,0,0,0.9749279121818236,-0.22252093395631434,-0.9884683243281114,0.15142777750457667,-0.4999999999999997,-0.8660254037844388
2021-08-26,20.78,0.865833,3.654237,207.43,8.642916,1.714307,1454.1875,60.591668,0.026532,148.649997,6.2225,444.57,18.52375,0.012533,159.11,6.629583,578.539987,26.014166,0.181112,4.12058,1249.9,52.079167,4.21627,98.078207,142.5,3.834282,3419.0,Jueves,26,8,2021,Laborable,No Festivo,0,0,0.43388373911755823,-0.900968867902419,-0.9377521321470804,0.3473052528448203,-0.4999999999999997,-0.8660254037844388
2021-08-27,20.44,0.851667,3.624962,207.52,8.646666,1.831062,1475.9375,61.495834,0.026665,149.109997,6.17875,447.65,18.652083,0.012665,153.3,6.3875,627.339986,25.623749,0.180176,4.085331,1246.6,51.941667,4.184466,94.902569,151.25,3.74457,3640.0,Viernes,27,8,2021,Laborable,No Festivo,0,0,-0.433883739117558,-0.9009688679024191,-0.848644257494751,0.5289640103269624,-0.4999999999999997,-0.8660254037844388
2021-08-28,25.09,1.045417,3.606139,213.14,8.880833,1.776733,1504.0625,62.670834,0.026398,150.269997,6.662917,420.92,17.538333,0.012665,152.94,6.3725,607.809986,24.423333,0.17658,4.124177,1236.4,51.516667,4.164592,86.491225,152.0,3.373158,3649.0,Sabado,28,8,2021,No Laborable,No Festivo,0,0,-0.9749279121818236,-0.2225209339563146,-0.72479278722912,0.6889669190756865,-0.4999999999999997,-0.8660254037844388
2021-08-29,32.92,1.371667,3.650808,211.21,8.800416,1.780844,1474.8125,61.450001,0.027199,159.459996,6.589167,396.73,16.530416,0.012533,129.67,5.402917,586.529987,22.728749,0.174581,4.103086,1184.3,49.345834,4.212437,82.995622,153.75,3.236829,3687.0,Domingo,29,8,2021,No Laborable,No Festivo,0,0,-0.7818314824680299,0.6234898018587334,-0.5712682150947924,0.8207634412072763,-0.4999999999999997,-0.8660254037844388
2021-08-30,16.73,0.697083,3.718783,202.47,8.43625,1.739487,1452.875,60.537501,0.027066,158.289996,6.692083,399.85,16.660416,0.012665,123.54,5.1475,545.689988,22.492083,0.17192,4.115293,1168.7,48.695834,4.282139,88.548096,151.25,3.453376,3641.0,Lunes,30,8,2021,Laborable,No Festivo,0,0,0.0,1.0,-0.3943558551133187,0.9189578116202306,-0.4999999999999997,-0.8660254037844388
2021-08-31,15.7,0.654167,3.644298,226.15,9.422916,1.711924,1579.9375,65.829168,0.027066,165.379996,7.038333,462.37,19.265416,0.012665,183.68,7.653333,536.809988,24.013749,0.164487,4.064013,1220.6,50.858334,4.202894,98.061118,149.0,3.851227,3565.0,Martes,31,8,2021,Laborable,No Festivo,0,0,0.7818314824680298,0.6234898018587336,-0.20129852008866028,0.9795299412524945,-0.4999999999999997,-0.8660254037844388
2021-09-01,14.53,0.605417,3.752707,194.48,8.103333,1.703714,1321.3125,55.054167,0.026799,166.389996,6.520833,383.69,15.987083,0.012665,146.6,6.108333,576.259987,21.68625,0.164898,4.120855,1109.6,46.233334,4.318047,93.782276,154.875,3.658508,3740.0,Miercoles,1,9,2021,Laborable,No Festivo,0,0,0.9749279121818236,-0.22252093395631434,0.0,1.0,-0.8660254037844384,-0.5000000000000004
2021-09-02,26.67,1.11125,3.728715,203.82,8.4925,1.670837,1148.0625,47.837501,0.026932,155.429997,6.16125,275.03,11.459583,0.012533,122.58,5.1075,515.809988,20.825416,0.152732,3.932546,1219.0,50.791667,4.286769,92.848874,141.625,3.621106,3373.0,Jueves,2,9,2021,Laborable,No Festivo,0,0,0.43388373911755823,-0.900968867902419,0.20791169081775931,0.9781476007338057,-0.8660254037844384,-0.5000000000000004
2021-09-03,18.9,0.7875,3.736135,205.54,8.564166,1.677329,1405.5,58.562501,0.026799,144.929997,6.14625,392.36,16.348333,0.012533,139.68,5.82,501.409989,22.15125,0.156823,4.051822,1134.1,47.254167,4.299482,99.147118,137.234043,3.926879,3281.0,Viernes,3,9,2021,Laborable,No Festivo,0,0,-0.433883739117558,-0.9009688679024191,0.40673664307580015,0.9135454576426009,-0.8660254037844384,-0.5000000000000004
2021-09-04,18.83,0.784583,3.643371,214.39,8.932916,1.596235,1460.0,60.833334,0.026665,147.469997,6.11375,405.81,16.90875,0.012665,168.85,7.035417,532.599988,24.284583,0.152996,4.024648,1233.8,51.408334,4.200502,95.927441,164.470588,3.808331,3479.0,Sabado,4,9,2021,No Laborable,No Festivo,0,0,-0.9749279121818236,-0.2225209339563146,0.5877852522924731,0.8090169943749475,-0.8660254037844384,-0.5000000000000004
2021-09-05,27.9,1.1625,3.683272,209.08,8.711666,1.498013,1450.6875,60.445834,0.026398,146.359997,6.123333,417.31,17.387916,0.012665,151.09,6.295417,582.839987,23.787083,0.154714,4.016834,1183.3,49.304167,4.246886,91.958548,146.0,3.586383,3642.0,Domingo,5,9,2021,No Laborable,No Festivo,0,0,-0.7818314824680299,0.6234898018587334,0.7431448254773941,0.6691306063588582,-0.8660254037844384,-0.5000000000000004
2021-09-06,13.41,0.55875,3.638867,250.06,10.419166,1.399677,1528.75,63.695834,0.025864,146.159997,5.708333,472.43,19.684583,0.012665,197.23,8.217916,595.459987,26.066249,0.158544,4.044652,1246.0,51.916667,4.197708,98.862776,171.555556,4.018945,3607.0,Lunes,6,9,2021,Laborable,No Festivo,0,0,0.0,1.0,0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004
2021-09-07,15.37,0.640417,3.652916,231.12,9.63,1.39399,1529.375,63.725001,0.026398,137.319997,5.927917,455.07,18.96125,0.012665,167.62,6.984167,610.359986,23.717083,0.16118,4.031925,1191.7,49.654167,4.211622,89.239477,153.0,3.587512,3656.0,Martes,7,9,2021,Laborable,No Festivo,0,0,0.7818314824680298,0.6234898018587336,0.9510565162951535,0.30901699437494745,-0.8660254037844384,-0.5000000000000004
2021-09-08,15.3,0.6375,3.692539,191.89,7.995416,1.354616,1434.875,59.787501,0.024683,142.549997,5.947917,412.42,17.184166,0.012665,157.32,6.555,558.319988,22.545833,0.157088,4.038429,1159.7,48.320834,4.260662,85.246971,150.0,3.324632,3596.0,Miercoles,8,9,2021,Laborable,No Festivo,0,0,0.9749279121818236,-0.22252093395631434,0.9945218953682733,0.10452846326765368,-0.8660254037844384,-0.5000000000000004
2021-09-09,28.67,1.194583,3.768077,189.38,7.890833,1.26345,1571.8125,65.491668,0.026665,142.659997,5.865833,479.96,19.998333,0.012665,162.63,6.77625,540.179988,23.497916,0.148772,4.074874,1000.9,41.704167,4.334201,90.595325,141.631579,3.533218,3492.0,Jueves,9,9,2021,Laborable,No Festivo,0,0,0.43388373911755823,-0.900968867902419,0.9945218953682734,-0.10452846326765333,-0.8660254037844384,-0.5000000000000004
2021-09-10,56.0,2.333333,3.810893,204.02,8.500833,1.151851,1471.4375,61.308334,0.026412,141.429997,5.864167,434.61,18.10875,0.012665,163.32,6.805,565.259987,23.116249,0.144805,4.022005,914.4,38.100001,4.377405,92.948226,163.588235,3.624981,3467.0,Viernes,10,9,2021,Laborable,No Festivo,0,0,-0.433883739117558,-0.9009688679024191,0.9510565162951536,-0.30901699437494734,-0.8660254037844384,-0.5000000000000004
2021-09-11,54.38,2.265833,3.776956,217.92,9.08,1.406167,1529.5625,63.733334,0.023758,142.289997,6.123333,421.62,17.5675,0.012665,163.94,6.830833,556.319988,24.353749,0.142662,4.024769,948.2,39.508334,4.344425,96.300992,139.625,3.755739,3334.0,Sabado,11,9,2021,No Laborable,No Festivo,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004
2021-09-12,65.43,2.72625,3.75828,215.68,8.986666,1.354879,1490.0,62.083334,0.026285,144.599997,6.103333,392.09,16.337083,0.012665,133.4,5.558333,586.529987,24.529583,0.147834,4.013097,934.4,38.933334,4.329056,96.419875,142.875,3.794862,3446.0,Domingo,12,9,2021,No Laborable,No Festivo,0,0,-0.7818314824680299,0.6234898018587334,0.7431448254773945,-0.6691306063588579,-0.8660254037844384,-0.5000000000000004
2021-09-13,61.76,2.573333,3.843492,204.32,8.513333,1.409617,1501.6875,62.570834,0.027066,147.199997,6.095417,432.41,18.017083,0.012665,83.86,3.494167,592.909987,21.575,0.146655,4.029013,821.7,34.237501,4.417317,93.04736,142.875,3.632093,3407.0,Lunes,13,9,2021,Laborable,No Festivo,0,0,0.0,1.0,0.5877852522924732,-0.8090169943749473,-0.8660254037844384,-0.5000000000000004
2021-09-14,51.04,2.126667,3.932819,191.84,7.993333,1.412278,1406.625,58.608334,0.038279,144.179997,5.5775,360.57,15.02375,0.012929,73.12,3.046667,493.249989,19.279166,0.12861,3.968185,689.7,28.7375,4.505058,93.825126,135.75,3.65918,3271.0,Martes,14,9,2021,Laborable,No Festivo,0,0,0.7818314824680298,0.6234898018587336,0.40673664307580043,-0.9135454576426008,-0.8660254037844384,-0.5000000000000004
2021-09-15,48.03,2.00125,3.768471,208.69,8.695416,1.447395,1469.875,61.245834,0.040918,134.849997,5.655417,374.66,15.610833,0.020201,96.09,4.00375,464.52999,20.705,0.109433,3.961703,731.0,30.458334,4.343369,97.598294,124.875,3.954923,2982.0,Miercoles,15,9,2021,Laborable,No Festivo,0,0,0.9749279121818236,-0.22252093395631434,0.20791169081775973,-0.9781476007338056,-0.8660254037844384,-0.5000000000000004
2021-09-16,21.66,0.9025,3.802284,228.92,9.538333,1.490078,1459.9375,60.829168,0.042765,135.179997,5.675417,367.3,15.304166,0.013061,68.29,2.845417,501.269989,20.399166,0.101606,4.035779,727.4,30.308334,4.375968,68.420443,128.125,2.668607,3083.0,Jueves,16,9,2021,Laborable,No Festivo,0,0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004
2021-09-17,6.19,0.257917,3.844684,226.16,9.423333,1.4144,1477.8125,61.575001,0.036787,137.679997,6.1925,366.91,15.287916,0.012665,70.92,2.955,488.509989,20.205833,0.111264,4.069829,736.4,30.683334,4.418636,66.934637,125.5,2.610591,3059.0,Viernes,17,9,2021,Laborable,No Festivo,0,0,-0.433883739117558,-0.9009688679024191,-0.20791169081775907,-0.9781476007338057,-0.8660254037844384,-0.5000000000000004
2021-09-18,9.85,0.410417,3.827459,217.0,9.041666,1.439706,1503.25,62.637501,0.03521,147.929997,6.065833,384.9,16.0375,0.012665,52.34,2.180833,482.509989,20.1525,0.121576,4.009677,742.6,30.941667,4.401013,82.665213,127.5,3.22394,3059.0,Sabado,18,9,2021,No Laborable,No Festivo,0,0,-0.9749279121818236,-0.2225209339563146,-0.4067366430757998,-0.9135454576426011,-0.8660254037844384,-0.5000000000000004
2021-09-19,16.08,0.67,3.867216,212.89,8.870416,1.468997,1507.8125,62.825001,0.041048,145.249997,6.049583,379.3,15.804166,0.012665,72.47,3.019583,487.869989,21.596666,0.118938,4.042943,785.4,32.725,4.437608,82.350944,130.875,3.211467,3165.0,Domingo,19,9,2021,No Laborable,No Festivo,0,0,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,-0.8660254037844384,-0.5000000000000004
2021-09-20,11.55,0.48125,3.825068,209.83,8.742916,1.554619,1435.5,59.812501,0.042369,145.099997,5.79,346.75,14.447916,0.012665,99.1,4.129167,514.429989,21.933333,0.111545,4.038966,792.6,33.025,4.396784,98.388898,135.875,3.958455,3252.0,Lunes,20,9,2021,Laborable,No Festivo,0,0,0.0,1.0,-0.743144825477394,-0.6691306063588585,-0.8660254037844384,-0.5000000000000004
2021-09-21,8.77,0.365417,3.836204,203.54,8.480833,1.420481,1410.6875,58.779168,0.045404,138.979997,5.728333,347.66,14.485833,0.012665,64.13,2.672083,525.609988,20.402916,0.110889,4.086932,746.3,31.095834,4.406052,83.99644,131.75,3.275861,3143.0,Martes,21,9,2021,Laborable,No Festivo,0,0,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,-0.8660254037844384,-0.5000000000000004
2021-09-22,11.27,0.469583,3.844431,203.46,8.4775,1.3692,1362.25,56.758334,0.047646,137.859997,5.597083,346.33,14.430416,0.012665,101.05,4.210417,488.169989,21.486666,0.100153,4.050086,773.3,32.220834,4.41544,83.286884,129.125,3.250544,3064.0,Miercoles,22,9,2021,Laborable,No Festivo,0,0,0.9749279121818236,-0.22252093395631434,-0.9510565162951535,-0.30901699437494756,-0.8660254037844384,-0.5000000000000004
2021-09-23,8.36,0.348333,3.847462,205.89,8.57875,1.492054,1380.75,57.533334,0.045931,134.139997,5.85375,352.63,14.692916,0.012665,74.21,3.092083,543.229988,20.81875,0.089261,4.050364,753.1,31.379167,4.417973,81.937544,125.25,3.198063,3019.0,Jueves,23,9,2021,Laborable,No Festivo,0,0,0.43388373911755823,-0.900968867902419,-0.9945218953682733,-0.10452846326765423,-0.8660254037844384,-0.5000000000000004
2021-09-24,8.81,0.367083,3.846273,210.91,8.787916,1.51645,1400.8125,58.366668,0.043425,140.659997,5.802917,357.66,14.9025,0.012533,77.81,3.242083,471.749989,20.938333,0.093643,4.043453,744.4,31.016667,4.416099,79.751009,124.25,3.11132,2979.0,Viernes,24,9,2021,Laborable,No Festivo,0,0,-0.433883739117558,-0.9009688679024191,-0.9945218953682734,0.10452846326765299,-0.8660254037844384,-0.5000000000000004
2021-09-25,15.99,0.66625,3.846011,224.5,9.354166,1.517626,1488.1875,62.008334,0.045008,138.609997,6.05625,389.97,16.24875,0.012665,68.99,2.874583,510.469989,22.243333,0.088197,4.047301,799.9,33.329167,4.4177,77.446285,124.375,3.020405,2979.0,Sabado,25,9,2021,No Laborable,No Festivo,0,0,-0.9749279121818236,-0.2225209339563146,-0.9510565162951536,0.30901699437494723,-0.8660254037844384,-0.5000000000000004
2021-09-26,15.65,0.652083,3.839377,226.24,9.426666,1.582583,1484.8125,61.866668,0.046855,145.839997,6.190417,381.49,15.895416,0.012665,73.46,3.060833,543.349988,22.31625,0.086328,4.074736,806.6,33.608334,4.412672,91.85756,133.125,3.582445,3213.0,Domingo,26,9,2021,No Laborable,No Festivo,0,0,-0.7818314824680299,0.6234898018587334,-0.866025403784439,0.49999999999999933,-0.8660254037844384,-0.5000000000000004
2021-09-27,11.68,0.486667,3.783978,239.99,9.999583,1.626715,1469.6875,61.237501,0.047778,148.389997,5.856667,383.77,15.990416,0.012665,95.02,3.959167,529.109988,22.729583,0.087927,4.065348,806.4,33.600001,4.34641,93.398549,136.75,3.711773,3281.0,Lunes,27,9,2021,Laborable,No Festivo,0,0,0.0,1.0,-0.7431448254773946,0.6691306063588578,-0.8660254037844384,-0.5000000000000004
2021-09-28,8.78,0.365833,3.785309,203.32,8.471666,1.53686,1422.75,59.279168,0.045535,140.669997,5.992917,391.19,16.299583,0.012797,106.38,4.4325,539.459988,22.433333,0.087134,4.0823,806.2,33.591667,4.357408,83.509334,133.125,3.29493,3195.0,Martes,28,9,2021,Laborable,No Festivo,0,0,0.7818314824680298,0.6234898018587336,-0.5877852522924734,0.8090169943749473,-0.8660254037844384,-0.5000000000000004
2021-09-29,13.53,0.56375,3.812349,230.26,9.594166,1.477873,1417.375,59.058334,0.048702,144.019997,5.834583,362.34,15.0975,0.012665,73.47,3.06125,536.599988,21.33125,0.092454,4.048506,774.4,32.266667,4.392804,75.432184,131.75,2.941855,3159.0,Miercoles,29,9,2021,Laborable,No Festivo,0,0,0.9749279121818236,-0.22252093395631434,-0.40673664307580093,0.9135454576426005,-0.8660254037844384,-0.5000000000000004
2021-09-30,16.72,0.696667,3.830765,199.86,8.3275,1.44832,1364.8125,56.866668,0.043928,140.349997,6.038333,393.78,16.4075,0.012665,73.52,3.063333,512.219989,21.369166,0.09391,4.12284,788.4,32.85,4.403374,75.176913,128.375,2.9319,3073.0,Jueves,30,9,2021,Laborable,No Festivo,0,0,0.43388373911755823,-0.900968867902419,-0.20791169081775987,0.9781476007338056,-0.8660254037844384,-0.5000000000000004
2021-10-01,9.29,0.387083,3.827716,200.1,8.3375,1.479073,1297.0625,54.045834,0.028935,144.939997,6.085417,366.99,15.29125,0.012665,98.97,4.12375,514.309989,22.489583,0.090979,4.147765,818.7,34.112501,4.401795,78.101363,123.0,3.045953,2940.0,Viernes,1,10,2021,Laborable,No Festivo,0,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,-1.0,-1.8369701987210297e-16
2021-10-02,19.24,0.801667,3.841231,219.71,9.154583,1.493771,1427.5,59.479168,0.030141,146.189997,6.465417,399.58,16.649166,0.012665,95.87,3.994583,539.219988,23.145416,0.088989,4.080445,851.0,35.458334,4.416649,80.175677,117.25,3.132794,2826.0,Sabado,2,10,2021,No Laborable,No Festivo,0,0,-0.9749279121818236,-0.2225209339563146,0.20129852008866006,0.9795299412524945,-1.0,-1.8369701987210297e-16
